cge:100763471	CDS	1	Uxs1; UDP-glucuronic acid decarboxylase 1 isoform X3
cge:100763185	CDS	1	Ecrg4; augurin
cge:100762895	CDS	1	Nck2; cytoplasmic protein NCK2
cge:100762607	CDS	1	Fhl2; four and a half LIM domains protein 2
cge:100762020	CDS	1	Tgfbrap1; transforming growth factor-beta receptor-associated protein 1
cge:100762312	CDS	1	CUNH2orf49; ashwin
cge:100761439	CDS	1	Mrps9; 28S ribosomal protein S9, mitochondrial
cge:100760470	CDS	1	Mfsd9; major facilitator superfamily domain-containing protein 9 isoform X2
cge:100757298	CDS	1	Slc9a2; sodium/hydrogen exchanger 2
cge:100757585	CDS	1	Slc9a4; sodium/hydrogen exchanger 4
cge:100757868	CDS	1	Il18rap; interleukin-18 receptor accessory protein
cge:100760768	CDS	1	Il1rl1; interleukin-1 receptor-like 1 isoform X1
cge:100758449	CDS	1	Il1rl2; interleukin-1 receptor-like 2
cge:100758740	CDS	1	Il1r1; interleukin-1 receptor type 1
cge:100761058	CDS	1	Map4k4; mitogen-activated protein kinase kinase kinase kinase 4 isoform X39
cge:100761352	CDS	1	Rfx8; DNA-binding protein RFX8
cge:100759597	CDS	1	Creg2; protein CREG2
cge:100760179	CDS	1	Cnot11; CCR4-NOT transcription complex subunit 11
cge:100759889	CDS	1	Rnf149; E3 ubiquitin-protein ligase RNF149 isoform X2
cge:100756640	CDS	1	Tbc1d8; LOW QUALITY PROTEIN: TBC1 domain family member 8 isoform X2
cge:100754887	CDS	1	Rpl31; 60S ribosomal protein L31
cge:100756929	CDS	1	Npas2; neuronal PAS domain-containing protein 2 isoform X1
cge:100755176	CDS	1	Pdcl3; phosducin-like protein 3
cge:100757508	CDS	1	Lonrf2; LON peptidase N-terminal domain and RING finger protein 2 isoform X2
cge:100756056	CDS	1	Rev1; DNA repair protein REV1 isoform X1
cge:100758365	CDS	1	Eif5b; eukaryotic translation initiation factor 5B isoform X2
cge:100756342	CDS	1	Txndc9; thioredoxin domain-containing protein 9 isoform X2
cge:100763616	CDS	1	Mitd1; MIT domain-containing protein 1
cge:100763336	CDS	1	Mrpl30; 39S ribosomal protein L30, mitochondrial
cge:100763903	CDS	1	Lipt1; lipoyltransferase 1, mitochondrial
cge:100764195	CDS	1	Tsga10; testis-specific gene 10 protein isoform X1
cge:100766200	CDS	1	Mgat4a; alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A isoform X1
cge:100766666	CDS	1	Unc50; protein unc-50 homolog isoform X2
cge:100766959	CDS	1	cytochrome c oxidase assembly factor 5
cge:100767245	CDS	1	Inpp4a; inositol polyphosphate-4-phosphatase type I A isoform X1
cge:100771946	CDS	1	Tmem131; transmembrane protein 131 isoform X2
cge:100768031	CDS	1	Actr1b; beta-centractin isoform X2
cge:100768321	CDS	1	cytochrome c oxidase subunit 5B, mitochondrial
cge:100768897	CDS	1	Sema4c; semaphorin-4C isoform X1
cge:100768604	CDS	1	Fam178b; protein FAM178B isoform X2
